Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
8.31,GOHO DISEYSSON Junior t,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
8.32,BRINI Michele,SM,1998.0,BO014 ATL. IMOLA SACMI AVIS,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
8.33,ADORNI Gabriele,PM,2002.0,LI035 ATL.LIBERTAS UNICUSANO LIVORNO,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
8.35,POUYE Mouhamed,PM,2003.0,MO052 A.S. LA FRATELLANZA 1874,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.37,DE PAOLI Federico,PM,2002.0,BL012 ANA ATL.FELTRE,60Hs H106,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
8.39,FALASCA Riccardo,SM,1997.0,TE138 ASD ATLETICA GRAN SASSO TERAMO,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
8.39,CABRAS Maurizio,PM,2004.0,OR030 SS ATL ORISTANO,60Hs H106,https://www.fidal.it/risultati/2024/REG33752/Gara020.htm
8.41,ARCIDIACONO Daniele,PM,2004.0,FG202 U.S. FOGGIA ATL. LEGGERA,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
8.43,GATTO Andy,SM,1999.0,CN020 A.S.D. ATLETICA ROATA CHIUSANI,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.44,GOHO DISEYSSON Junior T,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.46,PORCU Leonardo,PM,2002.0,MI080 ATL. RICCARDI MILANO 1946,60Hs H106,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
8.47,ZAMPESE Giacomo,SM,2000.0,VE471 ASD ATLETICA BIOTEKNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
8.47,GNOCCHI Edoardo,SM,2001.0,VA123 CUS INSUBRIA VARESE COMO,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.5,CIOCCOLONI Claudio,SM,1996.0,RM555 A.S.D. ATLETICA FUTURA ROMA,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
