Data	Codice	Home	Risultati	Versione Sigma	Status	Ultimo Aggiornamento
2018-01-14	REG16159	https://www.fidal.it/risultati/2018/REG16159/Index.htm	https://www.fidal.it/risultati/2018/REG16159/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-14	REG16241	https://www.fidal.it/risultati/2018/REG16241/Index.htm	https://www.fidal.it/risultati/2018/REG16241/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-20	REG16468				Gara non esistente	2024-02-10
2018-01-20	REG16407				Gara non esistente	2024-02-10
2018-01-20	REG15935	https://www.fidal.it/risultati/2018/REG15935/Index.htm	https://www.fidal.it/risultati/2018/REG15935/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-20	REG15936	https://www.fidal.it/risultati/2018/REG15936/Index.htm	https://www.fidal.it/risultati/2018/REG15936/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-20	REG16243	https://www.fidal.it/risultati/2018/REG16243/Index.htm	https://www.fidal.it/risultati/2018/REG16243/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-10
2018-01-20	REG16007	https://www.fidal.it/risultati/2018/REG16007/Index.htm	https://www.fidal.it/risultati/2018/REG16007/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-20	REG15998	https://www.fidal.it/risultati/2018/REG15998/Index.htm	https://www.fidal.it/risultati/2018/REG15998/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-01-21	REG16505				Gara non esistente	2024-02-10
2018-01-21	REG16244	https://www.fidal.it/risultati/2018/REG16244/Index.htm	https://www.fidal.it/risultati/2018/REG16244/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-01-21	REG16197	https://www.fidal.it/risultati/2018/REG16197/Index.htm	https://www.fidal.it/risultati/2018/REG16197/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-21	REG15937	https://www.fidal.it/risultati/2018/REG15937/Index.htm	https://www.fidal.it/risultati/2018/REG15937/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-21	REG15938	https://www.fidal.it/risultati/2018/REG15938/Index.htm	https://www.fidal.it/risultati/2018/REG15938/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-21	REG15842	https://www.fidal.it/risultati/2018/REG15842/Index.htm	https://www.fidal.it/risultati/2018/REG15842/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-21	REG15999	https://www.fidal.it/risultati/2018/REG15999/Index.htm	https://www.fidal.it/risultati/2018/REG15999/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-21	REG16137	https://www.fidal.it/risultati/2018/REG16137/Index.htm	https://www.fidal.it/risultati/2018/REG16137/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-21	REG15878	https://www.fidal.it/risultati/2018/REG15878/Index.htm	https://www.fidal.it/risultati/2018/REG15878/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-21	REG15904	https://www.fidal.it/risultati/2018/REG15904/Index.htm	https://www.fidal.it/risultati/2018/REG15904/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-21	REG16029	https://www.fidal.it/risultati/2018/REG16029/Index.htm	https://www.fidal.it/risultati/2018/REG16029/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-21	REG16000	https://www.fidal.it/risultati/2018/REG16000/Index.htm	https://www.fidal.it/risultati/2018/REG16000/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-01-24	REG16090	https://www.fidal.it/risultati/2018/REG16090/Index.htm	https://www.fidal.it/risultati/2018/REG16090/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-24	REG16030	https://www.fidal.it/risultati/2018/REG16030/Index.htm	https://www.fidal.it/risultati/2018/REG16030/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-01-25	REG16031	https://www.fidal.it/risultati/2018/REG16031/Index.htm	https://www.fidal.it/risultati/2018/REG16031/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-27	REG16364	https://www.fidal.it/risultati/2018/REG16364/Index.htm	https://www.fidal.it/risultati/2018/REG16364/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-27	REG16014	https://www.fidal.it/risultati/2018/REG16014/Index.htm	https://www.fidal.it/risultati/2018/REG16014/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-27	REG16091	https://www.fidal.it/risultati/2018/REG16091/Index.htm	https://www.fidal.it/risultati/2018/REG16091/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-27	REG16507	https://www.fidal.it/risultati/2018/REG16507/Index.htm	https://www.fidal.it/risultati/2018/REG16507/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-01-27	REG16156	https://www.fidal.it/risultati/2018/REG16156/Index.htm	https://www.fidal.it/risultati/2018/REG16156/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-27	REG15944	https://www.fidal.it/risultati/2018/REG15944/Index.htm	https://www.fidal.it/risultati/2018/REG15944/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-27	REG16135	https://www.fidal.it/risultati/2018/REG16135/Index.htm	https://www.fidal.it/risultati/2018/REG16135/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-27	REG15940	https://www.fidal.it/risultati/2018/REG15940/Index.htm	https://www.fidal.it/risultati/2018/REG15940/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-27	REG16246	https://www.fidal.it/risultati/2018/REG16246/Index.htm	https://www.fidal.it/risultati/2018/REG16246/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-10
2018-01-28	REG16092	https://www.fidal.it/risultati/2018/REG16092/Index.htm	https://www.fidal.it/risultati/2018/REG16092/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-28	REG16411				Gara non esistente	2024-02-10
2018-01-28	REG15843	https://www.fidal.it/risultati/2018/REG15843/Index.htm	https://www.fidal.it/risultati/2018/REG15843/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-28	REG16032				Gara non esistente	2024-02-10
2018-01-28	REG16139	https://www.fidal.it/risultati/2018/REG16139/Index.htm	https://www.fidal.it/risultati/2018/REG16139/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-28	REG16198	https://www.fidal.it/risultati/2018/REG16198/Index.htm	https://www.fidal.it/risultati/2018/REG16198/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-28	REG16386	https://www.fidal.it/risultati/2018/REG16386/Index.htm	https://www.fidal.it/risultati/2018/REG16386/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-10
2018-01-28	REG16245	https://www.fidal.it/risultati/2018/REG16245/Index.htm	https://www.fidal.it/risultati/2018/REG16245/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-10
2018-01-28	REG15945	https://www.fidal.it/risultati/2018/REG15945/Index.htm	https://www.fidal.it/risultati/2018/REG15945/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-28	REG16093	https://www.fidal.it/risultati/2018/REG16093/Index.htm	https://www.fidal.it/risultati/2018/REG16093/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-28	REG15946				Gara non esistente	2024-02-10
2018-01-28	COD6581	https://www.fidal.it/risultati/2018/COD6581/Index.htm	https://www.fidal.it/risultati/2018/COD6581/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-28	REG15880	https://www.fidal.it/risultati/2018/REG15880/Index.htm	https://www.fidal.it/risultati/2018/REG15880/Index.htm	Vecchissimo	ok	2024-02-10
