Prest.,Vento,Atleta,Anno,Società,Città,Data
12.59,+3.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Trento,21/09/2019
12.92,+1.3,SCOPEL Gioia,02,ANA ATL.FELTRE,Rosa',07/09/2019
12.93,+0.5,SCOPEL Gioia,02,ANA ATL.FELTRE,San Giovanni Lupatoto,14/04/2019
13.00,+0.6,SCOPEL Gioia,02,ANA ATL.FELTRE,Rosa',07/09/2019
13.04,-1.6,SCOPEL Gioia,02,ANA ATL.FELTRE,San Biagio Di Callalta,11/05/2019
13.12,-1.9,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,25/04/2019
13.36,+2.4,ZATTA Vanessa,01,ANA ATL.FELTRE,San Giovanni Lupatoto,14/04/2019
13.46,+1.1,ZATTA Vanessa,01,ANA ATL.FELTRE,Feltre,22/06/2019
13.70,+1.1,RENTO Ilaria,01,ANA ATL.FELTRE,Feltre,22/06/2019
13.74,-1.6,DALLA SANTA Angela,99,ANA ATL.FELTRE,San Biagio Di Callalta,11/05/2019
13.75,+2.5,RENTO Ilaria,01,ANA ATL.FELTRE,Rosa',07/09/2019
13.90,-1.3,RENTO Ilaria,01,ANA ATL.FELTRE,San Biagio Di Callalta,11/05/2019
14.07,-1.8,RENTO Ilaria,01,ANA ATL.FELTRE,Padova,25/04/2019
12.53,+2.8,SCOPEL Gioia,02,ANA ATL.FELTRE,Grosseto,18/09/2020
12.64,+1.0,SCOPEL Gioia,02,ANA ATL.FELTRE,Bolzano,23/08/2020
12.68,+1.4,SCOPEL Gioia,02,ANA ATL.FELTRE,Grosseto,18/09/2020
12.82,+0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,Udine,08/08/2020
12.85,-0.6,SCOPEL Gioia,02,ANA ATL.FELTRE,Abano Terme,31/07/2020
13.15,-1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Mestre,19/07/2020
13.51,-0.1,BARP Anna asia,04,ANA ATL.FELTRE,Abano Terme,31/07/2020
13.95,+1.3,DE BARBA Elena,04,ANA ATL.FELTRE,Bolzano,23/08/2020
13.97,+1.1,DE BARBA Elena,04,ANA ATL.FELTRE,Udine,08/08/2020
14.09,-0.7,RENTO Ilaria,01,ANA ATL.FELTRE,Mestre,19/07/2020
14.28,-1.5,DE BARBA Elena,04,ANA ATL.FELTRE,Abano Terme,31/07/2020
14.1,,MAHJOUBI Gaia,04,ANA ATL.FELTRE,Vallesella,23/07/2020
14.41,-2.1,DE BARBA Elena,04,ANA ATL.FELTRE,Mestre,19/07/2020
14.49,-1.7,DE BARBA Elena,04,ANA ATL.FELTRE,Mestre,05/09/2020
12.67,+1.8,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,23/05/2021
